day,huss,siconc,scnum,scph,tas
21206,0.212491485000371,0.6749783648673776,0.0,0.3598605148111117,0.2917552021122782
21207,0.2283702926254524,0.673805604651649,0.0,0.3601224233738664,0.3142987364053564
21208,0.2283323674785901,0.6726335189529158,0.0,0.360384311932148,0.3425661658389421
21209,0.2277373421579771,0.6714607587371872,0.0,0.3606462404993756,0.3174985855283813
21210,0.2309542869683279,0.6702886730384541,0.0,0.3609081490621302,0.2967309989312868
21211,0.2420452912376308,0.6691161376617235,0.0,0.3611700576248849,0.2741057396114916
21212,0.2448421540860843,0.6679433774459955,0.0,0.3614319461831666,0.2404035959011804
21213,0.2395603380785597,0.6667715165862604,0.0,0.3616938497448029,0.1917740617338255
21217,0.1999514910912224,0.662082049596335,0.0,0.3627414889969397,0.180109385804994
21227,0.2160066428670373,0.6503578200240262,0.0,0.3653605646222495,0.1231030363990682
21228,0.2077618404539394,0.6491852846472963,0.0,0.3656224531805311,0.1256915194568457
21229,0.2038314255756607,0.6491852846472963,0.0,0.3658843617432858,0.1730810335072571
21230,0.2012036953931065,0.6418975781916966,0.0,0.3661463003127499,0.1954186835984133
21231,0.1976882781205106,0.6346094220580994,0.0,0.3664081988732681,0.2011975859684464
21232,0.1860358675390314,0.627321265924503,0.0,0.3666701024349044,0.1908483686427389
21233,0.1702413668409701,0.6200333346299046,0.0,0.3669319959943043,0.1738448481800439
21234,0.1684091827623722,0.6127451784963082,0.0,0.3671939045570589,0.1888288175017295
21235,0.1715990974748907,0.6054574720407083,0.0,0.3674558131198135,0.2142893065945783
21236,0.1840321123787992,0.59816954074611,0.0,0.3677177416870412,0.2442446721569121
21237,0.1962955795673211,0.5908811597735154,0.0,0.3679796302453229,0.257213805242973
21238,0.189253746210728,0.5835932284789169,0.0,0.3682415388080775,0.2547007606714027
21239,0.1849023673903918,0.5763052971843186,0.0,0.3685034473708321,0.2364556484566567
21240,0.1862093582245429,0.5690169162117235,0.0,0.3687653559335867,0.2206277110706014
21241,0.1984232269993841,0.5617294345951224,0.0,0.3690272644963414,0.2076161438360434
21242,0.2099581785760793,0.5544415033005239,0.0,0.369289173059096,0.2076444332683689
21243,0.2142606853193367,0.5471533471669274,0.0,0.3695510816218506,0.2307914754510594
21244,0.2117888581002875,0.5398656407113277,0.0,0.3698129901846053,0.2590180423712823
21245,0.2142227601724739,0.5325770348997338,0.0,0.3700748987473599,0.2799239328597446
21257,0.2164108491860619,0.4451211848475604,0.0,0.3732177664925877,0.2563462626516626
21258,0.2108264621026095,0.4378332535529621,0.0,0.3734797100631701,0.2561780976928441
21259,0.2173193925128187,0.4378332535529621,0.0,0.3737415986214517,0.2638335324071164
21260,0.2276097663219506,0.4487325488400895,0.0,0.3740035021830881,0.2773480228830046
21263,0.1975874210952017,0.4814290856674804,0.0,0.3747892378735885,0.221118061230903
21284,0.2443712804432314,0.7103052931372166,0.0,0.380289262679135,0.3411579807631891
21285,0.2346028313638371,0.721204588424344,0.0,0.3805511912463626,0.3568554724335205
21286,0.2295181119813893,0.7321038837114714,0.0,0.3808130998091173,0.3748947004463444
21287,0.2294082276297406,0.7430027293206015,0.0,0.3810750083718719,0.3865310869428593
21288,0.2404547697227625,0.7539011252517355,0.0,0.3813369019312718,0.3873420506695189
21289,0.2492111206284265,0.7539011252517355,0.0,0.3815988004917899,0.3888853963663805
21292,0.2947396109222347,0.7572914725088232,0.0,0.382384551185645,0.3805840196140077
21313,0.3812290237880423,0.7810234536304416,0.0,0.3878845809923099,0.5693248255485016
21314,0.3819492902913179,0.7821534944364715,0.0,0.3881464895550645,0.5765480606022484
21315,0.3746316565506999,0.7832830855645047,0.0,0.3884083981178191,0.5820252090274709
21316,0.3562494260643813,0.7844138008875293,0.0,0.3886703066805738,0.5695212799396545
21319,0.3622351660016362,0.7878034736276223,0.0,0.3894560323688376,0.5872383227509953
21320,0.3527285612672704,0.7878034736276223,0.0,0.3897179409315923,0.6074118312692556
21321,0.3478778779142309,0.7902978374760291,0.0,0.3899798494943469,0.6379204123970607
21322,0.3496560017971641,0.792791301968443,0.0,0.3902417380526286,0.6454171119632837
21323,0.3757555586799557,0.7952845416218579,0.0,0.3905036666198562,0.6455082668007787
21324,0.4007359865025908,0.7977786806312672,0.0,0.3907655751826108,0.6449911988432768
21325,0.4330332698480555,0.8002721451236806,0.0,0.3910274837453654,0.6733482114792235
21326,0.4472277547742362,0.8027656096160941,0.0,0.3912893773047654,0.7088200163450087
21327,0.4478451408859539,0.8052592989475061,0.0,0.3915512758652834,0.702847802854091
21328,0.4509248080785232,0.8077525386009214,0.0,0.3918131794269199,0.701251021562838
21330,0.4626537434091437,0.812739692424747,0.0,0.3923370265591386,0.7162632803168402
21331,0.4676793182397127,0.8152329320781624,0.0,0.3925989151174202,0.7215659772427254
21333,0.4752280307821451,0.8202205355799845,0.0,0.3931227172395747,0.7099940277865143
21336,0.5151277755785918,0.8277011538962235,0.0,0.3939084529300751,0.7224932419689462
21347,0.6114519416793212,0.8551308371857622,0.0,0.3967894221147849,0.7739234299365104
21348,0.6238909748007891,0.8576245265171744,0.0,0.3970513306775395,0.7905921921166759
21349,0.5968952223134752,0.8601184406875845,0.0,0.3973132392402941,0.7929842207833006
21350,0.5853780141023439,0.8601184406875845,0.0,0.3975751478030487,0.7918133526120632
21351,0.5888410832584079,0.8587410769832992,0.0,0.3978370563658034,0.7900484063619827
21352,0.6010324874797726,0.857365062313004,0.0,0.398098964928558,0.7906141950084915
21353,0.6144185078867184,0.8559876986087187,0.0,0.3983608734913126,0.7902024266046385
21354,0.6284399171768744,0.8546107845824301,0.0,0.3986227820540673,0.7971427673351398
21357,0.65623214962949,0.8504807170205592,0.0,0.3994085077423311,0.8024187464638248
21358,0.678428477375393,0.8491035781552726,0.0,0.3996704163050858,0.811900421198213
21364,0.7006227298738611,0.8408427685145359,0.0,0.4012418526782588,0.8404240271578529
21365,0.7144443965984614,0.8394658544882473,0.0,0.4015037512387769,0.8552775507638147
21366,0.7262188317290807,0.8380893901399555,0.0,0.4017656548004134,0.8577041554032836
21367,0.7434187418708665,0.8367122512746683,0.0,0.4020275933698775,0.857147796567553
21374,0.7579612976729729,0.8270752021246384,0.0,0.4038609283035687,0.7789495190796512
21375,0.751979396943472,0.8256982880983498,0.0,0.404122831865205,0.7813195448544691
21376,0.7625968816294425,0.8243215989110599,0.0,0.4043847204234866,0.7828534607405525
21377,0.7735619702606664,0.8229442352067741,0.0,0.4046466289862413,0.7842160683975581
21378,0.7879657438906011,0.8215677708584828,0.0,0.4049085675557054,0.7930565159992483
21379,0.7926407575483232,0.8201908568321936,0.0,0.4051704661162236,0.8076224303765622
21380,0.7795516531680466,0.818814842161899,0.0,0.4054323546745052,0.8084711133463254
21381,0.7891984408666025,0.818814842161899,0.0,0.4056942632372598,0.8210221914880235
21382,0.8069267608863586,0.8139639407711122,0.0,0.4059561718000145,0.8312393914628818
21383,0.8092422182112295,0.8091132642193242,0.0,0.4062180803627691,0.8518623876280897
